session_id,scenario_type,is_attack,is_malicious_cmd,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,intent,intent_index,risk_score
normal_mission_0,normal_mission,False,False,0.25333333,0.841,0.3,0.04639879,0.019731697,0.0,0.15210374,0.003921569,0.003921569,0.4,0.1,0.04,0.0,1.0,0.58,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857143,0.0,1.0,0.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,UNKNOWN,8,0.32000000000000006
normal_mission_0,normal_mission,False,False,0.25333333,0.46,0.03,-0.06879627,-0.0688011,0.0,0.050908048,0.003921569,0.003921569,1.0,0.1,0.02,0.2,1.0,0.56,0.33333334,0.33333334,1.0,1.0,0.061740942,-0.37576744,0.8660254,1.0,0.0,0.0,0.42857143,0.33333334,1.0,0.92,0.3,0.25,0.0,0.0,0.0,1.0,1.0,0.0,MODE_CONTROL,2,0.16000000000000003
normal_mission_0,normal_mission,False,False,0.25333333,0.107,0.20580836,0.07323523,0.020223003,0.0,0.10969213,0.003921569,0.003921569,0.4,0.1,0.04,0.2,1.0,0.4905389,0.25,0.25,1.0,1.0,0.29251012,0.35654718,0.9484014,1.0,0.0,0.0,0.42857143,0.5,1.0,0.9,0.20580836,0.4,0.0,0.0,0.0,1.0,0.5,0.0,NAVIGATION,0,0.08000000000000002
normal_mission_0,normal_mission,False,False,0.25333333,0.107,0.20205845,0.093981974,0.06648853,0.0,0.116276555,0.003921569,0.003921569,1.0,0.1,0.02,0.2,1.0,0.36977914,0.4,0.2,1.0,0.8,0.36724788,0.6104197,0.94280905,0.99485385,1.0,0.0,0.42857143,0.5,1.0,0.85,0.20205845,0.4,0.0,0.0,0.0,1.0,0.5,0.0,NAVIGATION,0,0.08000000000000002
normal_mission_0,normal_mission,False,False,0.25333333,0.107,0.21818249,-0.063319094,-0.039151553,0.0,0.115266815,0.003921569,0.003921569,1.0,0.1,0.02,0.2,1.0,0.30227292,0.5,0.16666667,1.0,0.6666667,0.42857084,0.070521295,0.9135892,0.8281312,1.0,0.0,0.42857143,0.5,1.0,0.8,0.21818249,0.4,0.0,0.0,0.0,1.0,0.5,0.0,NAVIGATION,0,0.08000000000000002
normal_mission_0,normal_mission,False,False,0.25333333,0.107,0.2431945,-0.04175417,0.022370579,0.0,0.12388242,0.003921569,0.003921569,1.0,0.1,0.02,0.2,1.0,0.26023144,0.5714286,0.14285715,1.0,0.5714286,0.49852106,-0.12167961,0.8792004,0.731796,1.0,0.0,0.42857143,0.5,1.0,0.75,0.2431945,0.4,0.0,0.0,0.0,1.0,0.5,0.0,NAVIGATION,0,0.08000000000000002
normal_mission_0,normal_mission,False,False,0.25333333,0.107,0.22921446,-0.026727632,-0.008786003,0.0,0.11546735,0.003921569,0.003921569,1.0,0.1,0.02,0.2,0.5981733,0.16822478,0.71428573,0.14285715,1.0,0.42857143,0.2090968,-0.3438352,0.7595545,0.7550961,1.0,0.0,0.42857143,0.5,1.0,0.7,0.22921446,0.4,0.0,0.0,0.0,1.0,0.5,0.0,NAVIGATION,0,0.08000000000000002
normal_mission_0,normal_mission,False,False,0.25333333,0.385,0.0,-0.060065243,0.0028468876,0.0,0.030066336,0.003921569,0.003921569,1.0,0.1,0.02,0.2,0.8779181,0.1546296,0.14285715,0.14285715,1.0,0.42857143,-0.0015641102,-0.35103956,0.18463723,0.33973864,0.0,0.0,0.5714286,0.0,1.0,0.65,0.28,0.3,0.0,0.0,0.0,1.0,0.5,0.0,ABORT,3,0.2
normal_mission_0,normal_mission,False,False,0.25333333,0.467,0.0,0.018482914,-0.09070992,0.0,0.046286896,0.003921569,0.003921569,1.0,0.1,0.02,0.4,1.0,0.09602682,0.14285715,0.2857143,1.0,0.42857143,-0.72128713,-0.5249741,-0.7340253,0.5660859,0.0,0.0,0.71428573,0.8333333,1.0,0.6,0.05,0.05,0.0,0.0,0.0,1.0,0.5,0.0,LANDING,4,0.16000000000000003
normal_mission_0,normal_mission,False,False,0.25333333,0.011,0.0,0.021508971,-0.06589518,0.0,0.03465837,0.003921569,0.003921569,1.0,0.1,0.02,0.4,1.0,0.094776854,0.14285715,0.2857143,1.0,0.5714286,-0.82720304,-0.09828555,-0.8687445,0.6431694,0.0,0.0,0.71428573,0.0,1.0,0.58,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ARM_DISARM,7,0.52
normal_mission_1,normal_mission,False,False,0.25333333,0.841,0.3,0.09312641,0.06167947,0.0,0.16006005,0.003921569,0.003921569,0.4,0.1,0.04,0.0,1.0,0.58,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857143,0.0,1.0,0.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,UNKNOWN,8,0.32000000000000006
normal_mission_1,normal_mission,False,False,0.25333333,0.46,0.03,-0.039077245,-0.08046558,0.0,0.047174517,0.003921569,0.003921569,1.0,0.1,0.02,0.2,1.0,0.56,0.33333334,0.33333334,1.0,1.0,0.061740942,0.2568002,0.8660254,1.0,0.0,0.0,0.42857143,0.33333334,1.0,0.92,0.3,0.25,0.0,0.0,0.0,1.0,1.0,0.0,MODE_CONTROL,2,0.16000000000000003
normal_mission_1,normal_mission,False,False,0.25333333,0.107,0.2684233,-0.011969501,-0.075592354,0.0,0.1395605,0.003921569,0.003921569,0.4,0.1,0.04,0.2,1.0,0.5322822,0.25,0.25,1.0,1.0,0.42549488,0.15738092,0.9484014,1.0,0.0,0.0,0.42857143,0.5,1.0,0.9,0.2684233,0.4,0.0,0.0,0.0,1.0,0.5,0.0,NAVIGATION,0,0.08000000000000002
normal_mission_1,normal_mission,False,False,0.25333333,0.107,0.20343885,0.08186408,-0.048244003,0.0,0.11226818,0.003921569,0.003921569,1.0,0.1,0.02,0.2,1.0,0.43170387,0.4,0.2,1.0,0.8,0.41695103,0.47150168,0.94280905,0.99140286,1.0,0.0,0.42857143,0.5,1.0,0.85,0.20343885,0.4,0.0,0.0,0.0,1.0,0.5,0.0,NAVIGATION,0,0.08000000000000002
normal_mission_1,normal_mission,False,False,0.25333333,0.107,0.2311711,0.004013604,0.009342056,0.0,0.1156973,0.003921569,0.003921569,1.0,0.1,0.02,0.2,1.0,0.356456,0.5,0.16666667,1.0,0.6666667,0.45555344,0.34341782,0.9135892,0.8485868,1.0,0.0,0.42857143,0.5,1.0,0.8,0.2311711,0.4,0.0,0.0,0.0,1.0,0.5,0.0,NAVIGATION,0,0.08000000000000002
